trans_date,transaction_amount
2020-06-23,52700
2020-06-23,153600
2020-06-23,153600
2020-06-23,92700
2020-06-23,62700
2020-06-23,42300
2020-06-23,31750
2020-06-23,52700
2020-06-23,163600
2020-06-23,92700
2020-06-23,245100
2020-06-23,62700
2020-06-23,42300
2020-06-23,44300
2020-06-23,52700
2020-06-23,42300
2020-06-23,42300
2020-06-23,163600
2020-06-23,163600
2020-06-23,42300
2020-06-23,52700
2020-06-23,92700
2020-06-23,92700
2020-06-23,42300
2020-06-23,163600
2020-06-23,52700
2020-06-23,52700
2020-06-23,92700
2020-06-23,62700
2020-06-23,163600
2020-06-23,42300
2020-06-23,52700
2020-06-23,153600
2020-06-23,42300
2020-06-23,92700
2020-06-23,92700
2020-06-23,21700
2020-06-23,21700
2020-06-23,153600
2020-06-23,163600
2020-06-23,42300
2020-06-23,103600
2020-06-23,40000
2020-06-23,62700
2020-06-23,92700
2020-06-23,92700
2020-06-23,92700
2020-06-23,52700
2020-06-23,42300
2020-06-23,52700
2020-06-23,52700
2020-06-23,220000
2020-06-23,92700
2020-06-23,52700
2020-06-23,52700
2020-06-23,306000
2020-06-23,52700
2020-06-23,92700
2020-06-23,103600
2020-06-23,62700
2020-06-23,62700
2020-06-23,52700
2020-06-23,62700
2020-06-23,163650
2020-06-23,21700
2020-06-23,42300
2020-06-23,163600
2020-06-23,92700
2020-06-23,42300
2020-06-23,92700
2020-06-23,245100
2020-06-23,42300
2020-06-23,52700
2020-06-23,62700
2020-06-23,52700
2020-06-23,163600
2020-06-23,52700
2020-06-23,42300
2020-06-23,52700
2020-06-23,245100
2020-06-23,245100
2020-06-23,52700
2020-06-23,42300
2020-06-23,31750
2020-06-23,82700
2020-06-23,163600
2020-06-23,31750
2020-06-23,62700
2020-06-23,163600
2020-06-23,52700
2020-06-23,92700
2020-06-23,153600
2020-06-23,52700
2020-06-23,92700
2020-06-23,42300
2020-06-23,92700
2020-06-23,62700
2020-06-23,21700
2020-06-23,153600
2020-06-23,153600
2020-06-23,46300
2020-06-23,42300
2020-06-23,62700
2020-06-23,52700
2020-06-23,92700
2020-06-23,92700
2020-06-23,406500
2020-06-23,21700
2020-06-23,92700
2020-06-23,153600
2020-06-23,406500
2020-06-23,92700
2020-06-23,62700
2020-06-23,103600
2020-06-23,21700
2020-06-23,52700
2020-06-23,42300
2020-06-23,42300
2020-06-23,163600
2020-06-23,35750
2020-06-23,92700
2020-06-23,42300
2020-06-23,21700
2020-06-23,21700
2020-06-23,62700
2020-06-23,92700
2020-06-23,21700
2020-06-23,52700
2020-06-23,163600
2020-06-23,21700
2020-06-23,92700
2020-06-23,82700
2020-06-23,42300
2020-06-23,92700
2020-06-23,205100
2020-06-23,103600
2020-06-23,52700
2020-06-23,82700
2020-06-23,52700
2020-06-23,92700
2020-06-23,306000
2020-06-23,205100
2020-06-23,92700
2020-06-23,153600
2020-06-23,31750
2020-06-23,62700
2020-06-23,163600
2020-06-23,21700
2020-06-23,62700
2020-06-23,52700
2020-06-23,52700
2020-06-23,42300
2020-06-23,42300
2020-06-23,52700
2020-06-23,82700
2020-06-23,42300
2020-06-23,21700
2020-06-23,92700
2020-06-24,52700
2020-06-24,366000
2020-06-24,123600
2020-06-24,218711
2020-06-24,52700
2020-06-24,82700
2020-06-24,42300
2020-06-24,156600
2020-06-24,103600
2020-06-24,62700
2020-06-24,82700
2020-06-24,52700
2020-06-24,186600
2020-06-24,123600
2020-06-24,42300
2020-06-24,52700
2020-06-24,52700
2020-06-24,326000
2020-06-24,151600
2020-06-24,42300
2020-06-24,123600
2020-06-24,540000
2020-06-24,160857
2020-06-24,62700
2020-06-24,1208000
2020-06-24,123600
2020-06-24,179930
2020-06-24,36750
2020-06-24,82700
2020-06-24,52700
2020-06-24,86700
2020-06-24,366000
2020-06-24,205100
2020-06-24,62700
2020-06-24,103600
2020-06-24,366000
2020-06-24,134546
2020-06-24,406500
2020-06-24,326000
2020-06-24,2443000
2020-06-24,406500
2020-06-24,42300
2020-06-24,52700
2020-06-24,42300
2020-06-24,82700
2020-06-24,62700
2020-06-24,42300
2020-06-24,52700
2020-06-24,42300
2020-06-24,103600
2020-06-24,153600
2020-06-24,103600
2020-06-24,366000
2020-06-24,42300
2020-06-24,120000
2020-06-24,52700
2020-06-24,82700
2020-06-24,42300
2020-06-24,52700
2020-06-24,3008000
2020-06-24,52700
2020-06-24,103600
2020-06-24,42300
2020-06-24,205100
2020-06-24,426500
2020-06-24,143600
2020-06-24,103600
2020-06-24,406500
2020-06-24,426500
2020-06-24,406500
2020-06-24,92700
2020-06-24,908000
2020-06-24,1208000
2020-06-24,52700
2020-06-24,205100
2020-06-24,42300
2020-06-24,52700
2020-06-24,265100
2020-06-24,3008000
2020-06-24,103600
2020-06-24,82700
2020-06-24,82700
2020-06-24,42300
2020-06-24,60000
2020-06-24,52700
2020-06-24,82700
2020-06-24,52700
2020-06-24,52700
2020-06-24,42300
2020-06-24,406500
2020-06-24,52700
2020-06-24,607500
2020-06-24,82700
2020-06-24,1208000
2020-06-24,82700
2020-06-24,52700
2020-06-24,3008000
2020-06-24,52700
2020-06-24,62700
2020-06-25,205100
2020-06-25,143650
2020-06-25,245300
2020-06-25,205100
2020-06-25,52700
2020-06-25,52700
2020-06-25,205100
2020-06-25,42350
2020-06-25,205100
2020-06-25,205100
2020-06-25,183650
2020-06-25,205100
2020-06-25,21850
2020-06-25,205100
2020-06-25,21850
2020-06-25,205100
2020-06-25,163650
2020-06-25,205100
2020-06-25,205100
2020-06-25,205100
2020-06-25,369000
2020-06-25,183650
2020-06-25,205100
2020-06-25,205100
2020-06-25,306000
2020-06-25,183650
2020-06-25,205100
2020-06-25,16450
2020-06-25,82700
2020-06-25,183650
2020-06-25,205100
2020-06-25,205100
2020-06-25,205100
2020-06-25,275300
2020-06-25,245300
2020-06-25,52700
2020-06-25,16450
2020-06-25,21850
2020-06-25,205100
2020-06-25,82700
2020-06-25,205100
2020-06-25,62700
2020-06-25,205100
2020-06-25,52700
2020-06-25,205100
2020-06-25,800000
2020-06-25,1808000
2020-06-25,183650
2020-06-25,153650
2020-06-25,487000
2020-06-25,52700
2020-06-25,205100
2020-06-25,487000
2020-06-25,205100
2020-06-25,480000
2020-06-25,205100
2020-06-25,183650
2020-06-25,205100
2020-06-25,21850
2020-06-25,205100
2020-06-25,205100
2020-06-25,42350
2020-06-25,42350
2020-06-25,123650
2020-06-25,205100
2020-06-25,5950
2020-06-25,34350
2020-06-25,205100
2020-06-25,123650
2020-06-25,42350
2020-06-25,205100
2020-06-25,205100
2020-06-26,21850
2020-06-26,2008000
2020-06-26,26850
2020-06-26,103650
2020-06-26,677500
2020-06-26,3158000
2020-06-26,20200
2020-06-26,507000
2020-06-26,149850
2020-06-26,123650
2020-06-26,21850
2020-06-26,82700
2020-06-26,52700
2020-06-26,62700
2020-06-26,1813000
2020-06-26,52700
2020-06-26,26850
2020-06-26,52700
2020-06-26,42350
2020-06-26,92700
2020-06-26,42350
2020-06-26,52700
2020-06-26,427000
2020-06-26,26850
2020-06-26,26850
2020-06-26,82700
2020-06-26,31850
2020-06-26,20200
2020-06-26,62700
2020-06-26,82700
2020-06-26,52700
2020-06-26,82700
2020-06-26,413000
2020-06-26,42350
2020-06-29,52700
2020-06-29,245100
2020-06-29,225100
2020-06-29,306000
2020-06-29,21850
2020-06-29,62700
2020-06-29,306000
2020-06-29,205300
2020-06-29,52700
2020-06-29,727500
2020-06-29,245100
2020-06-29,225100
2020-06-29,183600
2020-06-29,306000
2020-06-29,245100
2020-06-29,152650
2020-06-29,245100
2020-06-29,306000
2020-06-29,306000
2020-06-29,62700
2020-06-29,306000
2020-06-29,62700
2020-06-29,225100
2020-06-29,225100
2020-06-29,123600
2020-06-29,62700
2020-06-29,225100
2020-06-29,225100
2020-06-29,62700
2020-06-29,225100
2020-06-29,366000
2020-06-29,52700
2020-06-29,123600
2020-06-29,42300
2020-06-29,486500
2020-06-29,306000
2020-06-29,366000
2020-06-29,225100
2020-06-29,225100
2020-06-29,306000
2020-06-29,245100
2020-06-29,225100
2020-06-29,52700
2020-06-29,225100
2020-06-29,245100
2020-06-29,123600
2020-06-29,225100
2020-06-29,306000
2020-06-29,366000
2020-06-29,306000
2020-06-29,52700
2020-06-29,82700
2020-06-29,245100
2020-06-29,52700
2020-06-29,225100
2020-06-29,52700
2020-06-29,52700
2020-06-29,306000
2020-06-29,52700
2020-06-29,306000
2020-06-29,103600
2020-06-29,62700
2020-06-29,225100
2020-06-29,225100
2020-06-29,225100
2020-06-29,245100
2020-06-29,225100
2020-06-29,225100
2020-06-29,306000
2020-06-29,225100
2020-06-29,42350
2020-06-29,42350
2020-06-29,52700
2020-06-29,52700
2020-06-29,52700
2020-06-29,306000
2020-06-29,306000
2020-06-29,174650
2020-06-29,727500
2020-06-29,52700
2020-06-29,52700
2020-06-29,225100
2020-06-29,123600
2020-06-29,642500
2020-06-29,306000
2020-06-29,225100
2020-06-29,42350
2020-06-29,366000
2020-06-29,486500
2020-06-29,52700
2020-06-29,225100
2020-06-29,62700
2020-06-29,306000
2020-06-29,306000
2020-06-29,123600
2020-06-29,306000
2020-06-29,306000
2020-06-29,225100
2020-06-29,123600
2020-06-29,245100
2020-06-29,225100
2020-06-30,21700
2020-06-30,11400
2020-06-30,11400
2020-06-30,144600
2020-06-30,110600
2020-06-30,169600
2020-06-30,245100
2020-06-30,183600
2020-06-30,2208000
2020-06-30,21700
2020-06-30,245100
2020-06-30,163600
2020-06-30,121600
2020-06-30,127600
2020-06-30,392000
2020-06-30,42300
2020-06-30,418500
2020-06-30,64700
2020-06-30,215100
2020-06-30,72700
2020-06-30,164600
2020-06-30,42300
2020-06-30,62700
2020-06-30,219100
2020-06-30,92700
2020-06-30,103600
2020-06-30,92700
2020-06-30,92700
2020-06-30,187600
2020-06-30,42300
2020-06-30,99700
2020-06-30,31750
2020-06-30,180600
2020-06-30,82700
2020-06-30,164600
2020-06-30,123600
2020-06-30,92700
2020-06-30,31750
2020-06-30,42300
2020-06-30,21700
2020-06-30,94700
2020-06-30,306000
2020-06-30,58700
2020-06-30,72700
2020-06-30,5850
2020-06-30,50300
2020-06-30,169600
2020-06-30,123600
2020-06-30,245100
2020-06-30,66700
2020-06-30,21700
2020-06-30,42300
2020-06-30,48300
2020-06-30,100700
2020-06-30,205100
2020-06-30,406500
2020-06-30,103600
2020-06-30,92700
2020-06-30,142600
2020-06-30,245100
2020-06-30,21700
2020-06-30,52700
2020-06-30,169600
2020-06-30,103600
2020-06-30,21700
2020-06-30,21700
2020-06-30,171600
2020-06-30,85700
2020-06-30,86700
2020-06-30,104600
2020-06-30,169600
2020-06-30,169600
2020-06-30,54700
2020-06-30,42300
2020-06-30,123600
2020-06-30,42300
2020-06-30,60700
2020-06-30,42300
2020-06-30,46300
2020-06-30,52700
2020-06-30,245100
2020-06-30,92700
2020-06-30,42300
2020-06-30,90700
2020-06-30,103600
2020-06-30,386000
2020-06-30,21700
2020-06-30,306000
2020-06-30,46300
2020-06-30,205100
2020-06-30,68700
2020-06-30,46300
2020-06-30,169600
2020-06-30,56700
2020-06-30,44300
2020-06-30,60700
2020-06-30,169600
2020-06-30,164600
2020-06-30,21700
2020-06-30,56700
2020-06-30,92700
2020-06-30,120600
2020-06-30,70700
2020-06-30,52700
2020-06-30,62700
2020-06-30,103600
2020-06-30,396000
2020-06-30,169600
2020-06-30,326000
2020-06-30,68700
2020-06-30,69700
2020-06-30,169600
2020-06-30,183600
2020-06-30,245100
2020-06-30,154600
2020-06-30,62700
2020-06-30,123600
2020-06-30,52700
2020-06-30,169600
2020-06-30,54700
2020-06-30,72700
2020-06-30,306000
2020-06-30,77700
2020-06-30,60700
2020-06-30,169600
2020-06-30,169600
2020-06-30,227100
2020-06-30,47300
2020-06-30,65700
2020-06-30,48300
2020-06-30,84700
2020-06-30,205100
2020-06-30,103600
2020-06-30,72700
2020-06-30,42300
2020-06-30,56700
2020-06-30,62700
2020-06-30,52700
2020-06-30,85700
2020-06-30,169600
2020-06-30,62700
2020-06-30,21700
2020-06-30,74700
2020-06-30,205100
2020-06-30,55700
2020-06-30,92700
2020-06-30,62700
2020-06-30,169600
2020-06-30,78700
2020-06-30,103600
2020-06-30,42300
2020-06-30,106600
2020-06-30,207100
2020-06-30,92700
2020-06-30,92700
2020-06-30,92700
2020-06-30,21700
2020-06-30,72700
2020-06-30,103600
2020-06-30,306000
2020-06-30,103600
2020-06-30,62700
2020-06-30,76700
2020-06-30,62700
2020-06-30,138600
2020-06-30,134600
2020-06-30,162600
2020-06-30,213100
2020-06-30,21700
2020-06-30,123600
2020-06-30,54700
2020-06-30,5850
2020-06-30,123600
2020-06-30,48300
2020-06-30,92700
2020-06-30,62700
2020-06-30,123600
2020-06-30,21700
2020-06-30,31750
2020-06-30,72700
2020-06-30,103600
2020-06-30,72700
2020-06-30,72700
2020-06-30,205100
2020-06-30,316000
2020-06-30,63700
2020-06-30,92700
2020-06-30,62700
2020-06-30,71700
2020-06-30,391000
2020-06-30,183600
2020-06-30,21700
2020-06-30,88700
2020-06-30,16400
2020-06-30,44300
2020-06-30,42300
2020-06-30,58700
2020-06-30,42300
2020-06-30,72700
2020-06-30,72700
2020-06-30,119600
2020-06-30,169600
2020-06-30,46300
2020-06-30,88700
2020-06-30,192600
2020-06-30,21700
2020-06-30,92700
2020-06-30,130600
2020-06-30,169600
2020-06-30,76700
2020-06-30,21700
2020-06-30,245100
2020-06-30,63700
2020-06-30,68700
2020-06-30,21700
2020-06-30,54700
2020-06-30,46300
2020-06-30,50300
2020-06-30,1358000
2020-06-30,82700
2020-06-30,21700
2020-06-30,245100
2020-06-30,70700
2020-06-30,75700
2020-06-30,306000
2020-06-30,66700
2020-06-30,72700
2020-06-30,48300
2020-06-30,103600
2020-06-30,92700
2020-06-30,133600
2020-06-30,169600
2020-06-30,47300
2020-06-30,205100
2020-06-30,83700
2020-06-30,80700
2020-06-30,11400
2020-06-30,169600
2020-06-30,128600
2020-06-30,62700
2020-06-30,42300
2020-06-30,82700
2020-06-30,60700
2020-06-30,78700
2020-06-30,31750
2020-06-30,72700
2020-06-30,48300
2020-06-30,70700
2020-06-30,31750
2020-06-30,169600
2020-06-30,72700
2020-06-30,50300
2020-06-30,21700
2020-06-30,169600
2020-06-30,123600
2020-06-30,103600
2020-06-30,205100
2020-06-30,123600
2020-06-30,163600
2020-06-30,123600
2020-06-30,31750
2020-06-30,46300
2020-06-30,133600
2020-06-30,169600
2020-06-30,103600
2020-06-30,64700
2020-06-30,103600
2020-06-30,205100
2020-06-30,52700
2020-06-30,114600
2020-06-30,103600
2020-06-30,169600
2020-06-30,169600
2020-06-30,88700
2020-06-30,123600
2020-06-30,169600
2020-06-30,2565500
2020-06-30,92700
2020-06-30,361000
2020-06-30,265100
2020-06-30,63700
2020-06-30,21700
2020-06-30,11400
2020-06-30,54700
2020-06-30,163600
2020-06-30,92700
2020-06-30,72700
2020-06-30,129600
2020-06-30,58700
2020-06-30,103600
2020-06-30,92700
2020-06-30,52700
2020-06-30,94700
2020-06-30,106600
2020-06-30,72700
2020-06-30,5850
2020-06-30,58700
2020-06-30,62700
2020-06-30,66700
2020-06-30,62700
2020-06-30,21700
2020-06-30,31750
2020-06-30,225100
2020-06-30,106600
2020-06-30,54700
2020-06-30,72700
2020-06-30,77700
2020-06-30,50300
2020-06-30,162600
2020-06-30,62700
2020-06-30,205100
2020-06-30,92700
2020-06-30,130600
2020-06-30,64700
2020-06-30,110600
2020-06-30,129600
2020-06-30,346000
2020-06-30,84700
2020-06-30,163600
2020-06-30,11400
2020-06-30,62700
2020-06-30,406500
2020-06-30,123600
2020-06-30,205100
2020-06-30,72700
2020-06-30,92700
2020-06-30,644800
2020-06-30,68700
2020-06-30,67700
2020-06-30,107600
2020-06-30,21700
2020-06-30,5850
2020-06-30,44300
2020-06-30,69700
2020-06-30,21700
2020-06-30,42300
2020-06-30,169600
2020-06-30,519000
2020-06-30,406500
2020-06-30,46300
2020-06-30,82700
2020-06-30,92700
2020-06-30,142600
2020-06-30,21700
2020-06-30,77700
2020-06-30,16400
2020-06-30,103600
2020-06-30,31750
2020-06-30,21800
2020-06-30,46300
2020-06-30,60700
2020-06-30,169600
2020-06-30,245100
2020-06-30,123600
2020-06-30,50300
2020-06-30,103600
2020-06-30,11400
2020-06-30,92700
2020-06-30,118600
2020-06-30,72700
2020-06-30,103600
2020-06-30,66700
2020-06-30,11400
2020-06-30,42300
2020-06-30,587000
2020-06-30,78700
2020-06-30,74700
2020-06-30,90700
2020-06-30,215100
2020-06-30,72700
2020-06-30,56700
2020-06-30,11400
2020-06-30,88700
2020-06-30,72700
2020-06-30,81700
2020-06-30,103600
2020-06-30,169600
2020-06-30,123600
2020-06-30,103600
2020-06-30,46300
2020-06-30,169600
2020-06-30,169600
2020-06-30,123600
2020-06-30,169600
2020-06-30,92700
2020-06-30,103600
2020-06-30,21700
2020-06-30,62700
2020-06-30,169600
2020-06-30,103600
2020-06-30,183600
2020-06-30,92700
2020-06-30,90700
2020-06-30,103600
2020-06-30,103600
2020-06-30,205100
2020-06-30,205100
2020-06-30,123600
2020-06-30,163600
2020-06-30,169600
2020-06-30,65700
2020-06-30,381000
2020-06-30,307000
2020-06-30,11400
2020-06-30,103600
2020-06-30,169600
2020-06-30,169600
2020-06-30,169600
2020-06-30,169600
2020-06-30,21700
2020-06-30,96700
2020-06-30,436500
2020-06-30,11400
2020-06-30,31750
2020-06-30,113600
2020-06-30,42300
2020-06-30,169600
2020-06-30,86700
2020-06-30,178600
2020-06-30,1348000
2020-06-30,57700
2020-06-30,21700
2020-06-30,60700
2020-06-30,169600
2020-06-30,169600
2020-06-30,78700
2020-06-30,92700
2020-06-30,65700
2020-06-30,169600
2020-06-30,21700
2020-06-30,123600
2020-06-30,42300
2020-06-30,103600
2020-06-30,21700
2020-06-30,80700
2020-06-30,92700
2020-06-30,92700
2020-06-30,169600
2020-06-30,21700
2020-06-30,56700
2020-06-30,56700
2020-06-30,92700
2020-06-30,259100
2020-06-30,11400
2020-06-30,72700
2020-06-30,64700
2020-06-30,58700
2020-06-30,183600
2020-06-30,21700
2020-06-30,103600
2020-06-30,44300
2020-06-30,62700
2020-06-30,48300
2020-06-30,169600
2020-06-30,58700
2020-06-30,123600
2020-06-30,163600
2020-06-30,21700
2020-06-30,44300
2020-06-30,76700
2020-06-30,76700
2020-06-30,57700
2020-06-30,21700
2020-06-30,42300
2020-06-30,245100
2020-06-30,163600
2020-07-02,547500
2020-07-02,245300
2020-07-02,52700
2020-07-02,52700
2020-07-02,52700
2020-07-02,245100
2020-07-02,52700
2020-07-02,1968000
2020-07-02,52700
2020-07-02,479000
2020-07-02,52700
2020-07-02,427000
2020-07-02,592000
2020-07-02,245100
2020-07-02,205300
2020-07-02,547500
2020-07-02,52700
2020-07-02,21700
2020-07-02,285100
2020-07-02,507000
2020-07-02,285100
2020-07-02,52700
2020-07-02,52700
2020-07-02,52700
2020-07-02,245100
2020-07-02,52700
2020-07-02,52700
2020-07-02,366500
2020-07-02,597000
2020-07-02,52700
2020-07-02,205100
2020-07-02,366500
2020-07-02,52700
2020-07-02,547500
2020-07-02,37850
2020-07-02,245100
2020-07-02,52700
2020-07-02,52700
2020-07-02,153600
2020-07-02,62700
2020-07-02,968000
2020-07-02,52700
2020-07-02,245100
2020-07-03,123600
2020-07-03,153650
2020-07-03,123600
2020-07-03,123600
2020-07-03,123600
2020-07-03,306000
2020-07-03,382000
2020-07-03,306000
2020-07-03,406500
2020-07-03,21700
2020-07-03,306000
2020-07-03,153650
2020-07-03,103600
2020-07-03,103600
2020-07-03,382000
2020-07-03,386000
2020-07-03,153650
2020-07-03,103600
2020-07-03,1289250
2020-07-03,407000
2020-07-03,382000
2020-07-03,103600
2020-07-03,486500
2020-07-03,103600
2020-07-03,103600
2020-07-03,103600
2020-07-03,103600
2020-07-03,103600
2020-07-03,123600
2020-07-03,103600
2020-07-03,366000
2020-07-03,245100
2020-07-03,407000
2020-07-03,103600
2020-07-03,153650
2020-07-03,561000
2020-07-03,366000
2020-07-03,103600
2020-07-03,103600
2020-07-03,103600
2020-07-03,103600
2020-07-03,153650
2020-07-03,245100
2020-07-03,103600
2020-07-03,138550
2020-07-03,407000
2020-07-03,103600
2020-07-03,153650
2020-07-03,245100
2020-07-03,727500
2020-07-03,103600
2020-07-03,103600
2020-07-03,103600
2020-07-03,183600
2020-07-03,153650
2020-07-03,103600
2020-07-03,245100
2020-07-03,407000
2020-07-03,407000
2020-07-03,306000
2020-07-03,103600
2020-07-03,103600
2020-07-03,42350
2020-07-03,918000
2020-07-03,486500
2020-07-03,245100
2020-07-03,567000
2020-07-03,153650
2020-07-03,407000
2020-07-03,103600
2020-07-03,103600
2020-07-03,103600
2020-07-03,358500
2020-07-03,205100
2020-07-03,727500
2020-07-03,482500
2020-07-03,153650
2020-07-03,103600
2020-07-03,103600
2020-07-03,407000
2020-07-03,123600
2020-07-03,153650
2020-07-03,547000
2020-07-03,245100
2020-07-03,153650
2020-07-03,103600
2020-07-03,153650
2020-07-03,103600
2020-07-03,366000
2020-07-03,123600
2020-07-03,407000
2020-07-03,103600
2020-07-03,196100
2020-07-03,103600
2020-07-03,3008000
2020-07-03,103600
2020-07-03,454500
2020-07-03,103600
2020-07-03,366000
2020-07-03,245100
2020-07-03,407000
2020-07-03,103600
2020-07-03,153650
2020-07-03,103600
2020-07-03,103600
2020-07-03,103600
2020-07-03,607500
2020-07-03,103600
2020-07-03,103600
2020-07-03,153650
2020-07-03,123600
2020-07-04,153650
2020-07-04,173650
2020-07-04,153650
2020-07-04,153650
2020-07-04,1028000
2020-07-04,72700
2020-07-04,153650
2020-07-04,407000
2020-07-05,52700
2020-07-05,26850
2020-07-05,52700
2020-07-05,52700
2020-07-05,153650
2020-07-05,26850
2020-07-05,20200
2020-07-05,407000
2020-07-05,26850
2020-07-05,52700
2020-07-05,52700
2020-07-05,153650
2020-07-05,20200
2020-07-05,123650
2020-07-05,153650
2020-07-05,407000
2020-07-05,26850
2020-07-05,20200
2020-07-05,26850
2020-07-05,13950
2020-07-05,52700
2020-07-05,52700
2020-07-05,26850
2020-07-05,20200
2020-07-06,217300
2020-07-06,52700
2020-07-06,21850
2020-07-06,123650
2020-07-06,52700
2020-07-06,31850
2020-07-06,306500
2020-07-06,487000
2020-07-06,62700
2020-07-06,52700
2020-07-06,123650
2020-07-06,26850
2020-07-06,306500
2020-07-06,52700
2020-07-06,306500
2020-07-06,52700
2020-07-06,163650
2020-07-06,407000
2020-07-06,62700
2020-07-06,42350
2020-07-06,62700
2020-07-06,163650
2020-07-06,42350
2020-07-06,52700
2020-07-06,123650
2020-07-06,306500
2020-07-06,52700
2020-07-06,52700
2020-07-06,123650
2020-07-06,20200
2020-07-06,31850
2020-07-06,52700
2020-07-06,123650
2020-07-06,31850
2020-07-06,21850
2020-07-06,163650
2020-07-06,62700
2020-07-06,62700
2020-07-06,407000
2020-07-06,42350
2020-07-06,52700
2020-07-06,123650
2020-07-06,11450
2020-07-06,407000
2020-07-06,42350
2020-07-06,407000
2020-07-06,62700
2020-07-06,123650
2020-07-06,52700
2020-07-06,163650
2020-07-06,31850
2020-07-06,21700
2020-07-06,31850
2020-07-06,62700
2020-07-06,163650
2020-07-06,52700
2020-07-06,205300
2020-07-06,205300
2020-07-06,205300
2020-07-06,21850
2020-07-06,163650
2020-07-06,52700
2020-07-06,31850
2020-07-06,72700
2020-07-06,42350
2020-07-06,123650
2020-07-06,52700
2020-07-06,82700
2020-07-06,407000
2020-07-06,163650
2020-07-06,52700
2020-07-06,163650
2020-07-06,52700
2020-07-06,21850
2020-07-06,31850
2020-07-06,487000
2020-07-06,31850
2020-07-06,163650
2020-07-06,163650
2020-07-06,52700
2020-07-06,42350
2020-07-06,82700
2020-07-06,21700
2020-07-06,153650
2020-07-06,31850
2020-07-06,26850
2020-07-06,11450
2020-07-06,366500
2020-07-06,62700
2020-07-06,42350
2020-07-06,26850
2020-07-06,163650
2020-07-06,52700
2020-07-06,306500
2020-07-06,31850
2020-07-06,407000
2020-07-06,62700
2020-07-06,306500
2020-07-06,173650
2020-07-06,808000
2020-07-06,306500
2020-07-06,306500
2020-07-06,52700
2020-07-06,163650
2020-07-06,163650
2020-07-06,11450
2020-07-06,52700
2020-07-06,123650
2020-07-06,42350
2020-07-06,31850
2020-07-06,26850
2020-07-06,20200
2020-07-06,82700
2020-07-06,487000
2020-07-07,123650
2020-07-07,123650
2020-07-07,143650
2020-07-07,153650
2020-07-07,143650
2020-07-07,42350
2020-07-07,21850
2020-07-07,31850
2020-07-07,143650
2020-07-07,163650
2020-07-08,52700
